2032cjc	
1.000000	0.001600
0.990005	0.003775
0.980007	0.005944
0.970007	0.008106
0.960005	0.010258
0.950000	0.012400
0.941671	0.014173
0.933340	0.015937
0.925008	0.017691
0.916674	0.019437
0.908338	0.021173
0.900000	0.022900
0.880024	0.026997
0.860036	0.031037
0.840036	0.035020
0.820024	0.038941
0.800000	0.042800
0.783356	0.045956
0.766703	0.049066
0.750041	0.052127
0.733370	0.055138
0.716690	0.058096
0.700000	0.061000
0.680029	0.064398
0.660044	0.067712
0.640045	0.070936
0.620030	0.074067
0.600000	0.077100
0.580032	0.080019
0.560049	0.082827
0.540049	0.085516
0.520033	0.088077
0.500000	0.090500
0.483363	0.092400
0.466714	0.094195
0.450053	0.095877
0.433380	0.097443
0.416696	0.098886
0.400000	0.100200
0.380023	0.101593
0.360032	0.102773
0.340029	0.103715
0.320018	0.104399
0.300000	0.104800
0.291666	0.104878
0.283332	0.104902
0.274998	0.104868
0.266665	0.104774
0.258332	0.104619
0.250000	0.104400
0.239985	0.104046
0.229975	0.103578
0.219972	0.102976
0.209980	0.102223
0.200000	0.101300
0.189933	0.100175
0.179891	0.098840
0.169882	0.097278
0.159916	0.095470
0.150000	0.093400
0.141508	0.091394
0.133068	0.089174
0.124689	0.086731
0.116379	0.084060
0.108147	0.081152
0.100000	0.078000
0.094899	0.075879
0.089842	0.073658
0.084835	0.071338
0.079886	0.068918
0.075000	0.066400
0.070742	0.064094
0.066530	0.061708
0.062358	0.059239
0.058218	0.056683
0.054101	0.054038
0.050000	0.051300
0.044674	0.047588
0.039437	0.043741
0.034362	0.039791
0.029525	0.035768
0.025000	0.031700
0.022636	0.029428
0.020297	0.027103
0.017891	0.024672
0.015323	0.022088
0.012499	0.019300
0.009116	0.016009
0.005720	0.012560
0.002711	0.009092
0.000487	0.005748
0.001488	-0.001563
0.003716	-0.002851
0.006454	-0.003857
0.009460	-0.004574
0.012500	-0.005000
0.014751	-0.005130
0.016903	-0.005113
0.018980	-0.004979
0.021006	-0.004761
0.023005	-0.004491
0.025000	-0.004200
0.029887	-0.003525
0.034861	-0.002890
0.039892	-0.002273
0.044949	-0.001651
0.050000	-0.001000
0.055038	-0.000301
0.057080	0.000000
0.060048	0.000438
0.065039	0.001208
0.070020	0.001999
0.075000	0.002800
0.079159	0.003470
0.083323	0.004139
0.087489	0.004807
0.091658	0.005473
0.095829	0.006138
0.100000	0.006800
0.110000	0.008376
0.119998	0.009935
0.129997	0.011475
0.139997	0.012997
0.150000	0.014500
0.158327	0.015735
0.166657	0.016957
0.174989	0.018164
0.183324	0.019358
0.191661	0.020536
0.200000	0.021700
0.209991	0.023073
0.219985	0.024417
0.229984	0.025725
0.239989	0.026988
0.250000	0.028200
0.259986	0.029350
0.269980	0.030437
0.279980	0.031460
0.289987	0.032415
0.300000	0.033300
0.316639	0.034609
0.333292	0.035727
0.349957	0.036664
0.366632	0.037431
0.383314	0.038039
0.400000	0.038500
0.420000	0.038871
0.440001	0.039056
0.460002	0.039066
0.480003	0.038910
0.500000	0.038600
0.516672	0.038230
0.533342	0.037764
0.550010	0.037204
0.566675	0.036554
0.583338	0.035818
0.600000	0.035000
0.620019	0.033913
0.640033	0.032720
0.660036	0.031431
0.680027	0.030055
0.700000	0.028600
0.719985	0.027072
0.739963	0.025471
0.759949	0.023794
0.779957	0.022038
0.800000	0.020200
0.816762	0.018602
0.833527	0.016952
0.850264	0.015259
0.866943	0.013531
0.883532	0.011775
0.900000	0.010000
0.909833	0.008926
0.919680	0.007839
0.929610	0.006729
0.939694	0.005585
0.950000	0.004400
0.958782	0.003376
0.967604	0.002336
0.976300	0.001298
0.984707	0.000284
0.992662	-0.000689
1.000000	-0.001600
