HL743512     B.Horeni - J.Lnenka (Cz)	
1.00000000	-0.00400000
0.90000000	0.02800000
0.80000000	0.04800000
0.70000000	0.06300000
0.60000000	0.07600000
0.50000000	0.08400000
0.40000000	0.08600000
0.30000000	0.08100000
0.25000000	0.07700000
0.20000000	0.07100000
0.15000000	0.06200000
0.10000000	0.05100000
0.07500000	0.04400000
0.05000000	0.03540000
0.02500000	0.02350000
0.01250000	0.01500000			
0.00000000	0.00000000			
0.01250000	-0.01000000			
0.02500000	-0.01350000			
0.05000000	-0.01800000			
0.07500000	-0.02100000			
0.10000000	-0.02300000			
0.15000000	-0.02700000			
0.20000000	-0.03000000			
0.25000000	-0.03250000			
0.30000000	-0.03400000			
0.40000000	-0.03300000			
0.50000000	-0.03000000			
0.60000000	-0.02400000			
0.70000000	-0.01600000			
0.80000000	-0.00800000			
0.90000000	0.00000000
1.00000000	-0.00400000

Profili-> Daren Anguelkov

