HL80-133   B.Horeni - J.Lnenka (Cz)	
1.00000000	0.00050000
0.90000000	0.01880000
0.80000000	0.03710000
0.70000000	0.05540000
0.60000000	0.07370000
0.50000000	0.08840000
0.40000000	0.09660000
0.30000000	0.09850000
0.25000000	0.09630000
0.20000000	0.09100000
0.15000000	0.08280000
0.10000000	0.06860000
0.07500000	0.06000000
0.05000000	0.04760000
0.02500000	0.03180000
0.01250000	0.02020000
0.00000000	0.00000000
0.01250000	-0.01380000
0.02500000	-0.01800000
0.05000000	-0.02300000
0.07500000	-0.02680000
0.10000000	-0.02970000
0.15000000	-0.03300000
0.20000000	-0.03430000
0.25000000	-0.03520000
0.30000000	-0.03550000
0.40000000	-0.03520000
0.50000000	-0.03450000
0.60000000	-0.03010000
0.70000000	-0.02290000
0.80000000	-0.01530000
0.90000000	-0.00760000
1.00000000	-0.00050000

Profili-> Daren Anguelkov
