Ritz 3-30-10 de profils MRA	
1.000000	0.000000
0.953700	0.009100
0.883600	0.020400
0.781000	0.035800
0.719300	0.044200
0.579300	0.060000
0.513300	0.067100
0.410100	0.076000
0.321600	0.079400
0.214500	0.078000
0.155800	0.071100
0.110800	0.062800
0.054100	0.043400
0.027600	0.029300
0.013100	0.019300
0.004100	0.010800
0.000000	0.004200
-0.000400	0.001600
0.000000	0.000100
0.004100	-0.004200
0.013100	-0.007900
0.027600	-0.010400
0.054100	-0.012200
0.110800	-0.015000
0.155800	-0.016900
0.214500	-0.018600
0.321600	-0.019700
0.410100	-0.018400
0.513300	-0.016200
0.579300	-0.014700
0.719300	-0.010400
0.781000	-0.008600
0.883600	-0.005500
0.953700	-0.002600
1.000000	0.000000
 Epaisseur relative :  9.91
