 Ritz 3-30-12 d'après Profili	
1.000000	0.001200
0.950000	0.010800
0.900000	0.019850
0.800000	0.037200
0.700000	0.052900
0.600000	0.065850
0.500000	0.077600
0.400000	0.086600
0.300000	0.090000
0.200000	0.085000
0.150000	0.077750
0.100000	0.065500
0.075000	0.057100
0.050000	0.045400
0.025000	0.029800
0.012500	0.020250
0.000000	0.000000
0.012500	-0.012750
0.025000	-0.015800
0.050000	-0.019400
0.075000	-0.022100
0.100000	-0.024500
0.150000	-0.027250
0.200000	-0.029000
0.300000	-0.030000
0.400000	-0.028600
0.500000	-0.025600
0.600000	-0.022350
0.700000	-0.017900
0.800000	-0.013200
0.900000	-0.008350
0.950000	-0.004800
1.000000	-0.001200
