 Ritz 3-30-15 d'aprrès Profili	
1.000000	0.001500
0.950000	0.012750
0.900000	0.023375
0.800000	0.043500
0.700000	0.061750
0.600000	0.076875
0.500000	0.090500
0.400000	0.101000
0.300000	0.105000
0.200000	0.099250
0.150000	0.090875
0.100000	0.076750
0.075000	0.067000
0.050000	0.053500
0.025000	0.035500
0.012500	0.024375
0.000000	0.000000
0.012500	-0.016875
0.025000	-0.021500
0.050000	-0.027500
0.075000	-0.032000
0.100000	-0.035750
0.150000	-0.040375
0.200000	-0.043250
0.300000	-0.045000
0.400000	-0.043000
0.500000	-0.038500
0.600000	-0.033375
0.700000	-0.026750
0.800000	-0.019500
0.900000	-0.011875
0.950000	-0.006750
1.000000	-0.001500
