ZAGI 08	
1.00000	0.00000
0.95000	0.00490
0.90000	0.00977
0.80000	0.01960
0.70000	0.02950
0.60000	0.03880
0.50000	0.04670
0.40000	0.05180
0.30000	0.05310
0.20000	0.04860
0.15000	0.04350
0.10000	0.03590
0.07500	0.03080
0.05000	0.02470
0.02500	0.01660
0.01250	0.01110
0.00000	0.00000
0.01250	-0.00850
0.02500	-0.01190
0.05000	-0.01610
0.07500	-0.01870
0.10000	-0.02050
0.15000	-0.02310
0.20000	-0.02470
0.30000	-0.02640
0.40000	-0.02720
0.50000	-0.02680
0.60000	-0.02560
0.70000	-0.02280
0.80000	-0.01830
0.90000	-0.01120
0.95000	-0.00650
1.00000	0.00000

http://perso.wanadoo.fr/scherrer/matthieu/fwairf.html
